composition,formation_energy,band_gap,delta_e
N1 Ta1,-1.25385496767175,0.0,-1.25385496767175
Er1 Ir1,-0.887233535,0.0,-0.887233535
Pr1 Zn1,-0.31109255375,0.0,-0.31109255375
Ca1 Se1,-2.04362863,2.167,-2.04362863
Ca1 Te1,-1.66065640166666,1.644,-1.66065640166666
Ti1,0.11433330666667,0.0,0.11433330666667
Se1,0.1684431,0.0,0.1684431
Si1,0.536881804999999,0.0,0.536881804999999
Ca1 Pb1,-0.530551455,0.0,-0.530551455
H1 Pd1,-0.0662704860920869,0.0,-0.0662704860920869
Rh1 Ti1,-0.767789021893133,0.0,-0.767789021893133
Rh1 V1,-0.360045299999999,0.0,-0.360045299999999
Au1 Cu1,-0.052771855,0.0,-0.052771855
Bi1 Na1,-0.366483062925824,0.0,-0.366483062925824
Er1 Mg1,-0.0665641795833349,0.0,-0.0665641795833349
Rh1 Si1,-0.539796512500001,0.0,-0.539796512500001
Li1,0.00102457,0.0,0.00102457
Na1,0.00305485000000005,0.0,0.00305485000000005
Np1,0.44372416125,0.0,0.44372416125
Mg1,0.0288302008333299,0.0,0.0288302008333299
Fe1 V1,-0.124237709999999,0.0,-0.124237709999999
Ru1 Ta1,-0.28299528,0.0,-0.28299528
Ge1,0.343545185,0.0,0.343545185
Th1,0.14515263,0.0,0.14515263
H1,1.18766227,0.0,1.18766227
As1 Ho1,-1.52807439916667,0.0,-1.52807439916667
Ho1 Se1,-1.72190709166666,0.0,-1.72190709166666
Sn1 Tl1,0.0232570340743989,0.0,0.0232570340743989
Lu1 Pd1,-0.9718324175,0.0,-0.9718324175
Rh1 Yb1,-0.536498425,0.0,-0.536498425
Ru1 Yb1,0.302793785,0.0,0.302793785
Lu1 Rh1,-1.0133319725,0.0,-1.0133319725
Ag1 I1,0.0174154250358414,0.182,0.0174154250358414
Lu1 Ru1,-0.450736697499999,0.0,-0.450736697499999
Sr1 Tl1,-0.4279577375,0.0,-0.4279577375
Lu1 Zn1,-0.3552263975,0.0,-0.3552263975
Mg1 Nd1,-0.114858377083335,0.0,-0.114858377083335
Fe1 Ti1,-0.449192511893131,0.0,-0.449192511893131
N1 Sc1,-0.988540790171752,0.0,-0.988540790171752
H1 Na1,-0.246102806517912,4.09,-0.246102806517912
Sn1 Yb1,-0.720321378425601,0.0,-0.720321378425601
Nb1 Rh1,-0.410521275000001,0.0,-0.410521275000001
Os1 V1,-0.226330055,0.0,-0.226330055
P1 Sc1,-1.05654787697997,0.0,-1.05654787697997
Au1 Cd1,-0.17990844,0.0,-0.17990844
Ta1 Tc1,-0.501043217499999,0.0,-0.501043217499999
Al1 Ti1,-0.435995316893132,0.0,-0.435995316893132
Hf1 Os1,-0.7081181225,0.0,-0.7081181225
Tb1 Tl1,-0.0232279698333349,0.0,-0.0232279698333349
Hg1 Ti1,-0.00718432937626634,0.0,-0.00718432937626634
Er1 Pd1,-0.931355924999999,0.0,-0.931355924999999
Mg1 Pd1,-0.744475069583335,0.0,-0.744475069583335
Au1 Cs1,-0.32039294,1.04,-0.32039294
Au1 Rb1,-0.27690996,0.392,-0.27690996
Mg1 Pr1,-0.119384248333335,0.0,-0.119384248333335
Tb1 Zn1,-0.0123909223333349,0.0,-0.0123909223333349
Hf1 Rh1,-0.862259727500001,0.0,-0.862259727500001
Au1 Dy1,-0.864565018333335,0.0,-0.864565018333335
Cd1 Lu1,-0.3049486225,0.0,-0.3049486225
Ca1 Cd1,-0.37364138,0.0,-0.37364138
Fe1 Pd1,-0.0657903050000002,0.0,-0.0657903050000002
Tc1 Ti1,-0.526867634393131,0.0,-0.526867634393131
Hf1 Ru1,-0.8124774125,0.0,-0.8124774125
Tc1 V1,-0.365395792499999,0.0,-0.365395792499999
Sb1 Tb1,-0.822246604833335,0.0,-0.822246604833335
Mg1 Rh1,-0.476044259583335,0.0,-0.476044259583335
Ce1 Mg1,-0.122780003333335,0.0,-0.122780003333335
